Bin_ID,Bin_Type,Electoral_Area,Irish_X,Irish_Y
WMS4505,Cast Iron,MERCHANTS QUAY C,-6.284766,53.337853
WMS1274,Bigbelly Bin,NORTH DOCK C,-6.240952,53.34843
WMS2858,Class B,BALLYBOUGH A,-6.243193,53.360793
WMS4020,Cast Iron,BALLYGALL A,-6.299807,53.389346
WMS1641,Dog Bin,DRUMCONDRA SOUTH B,-6.251827,53.362569
WMS3512,Class B,BALLYMUN C,-6.25663,53.391405
WMS2091,Class B,BALLYMUN F,-6.286388,53.390581
WMS2073,Class B,BALLYMUN E,-6.273503,53.391814
WMS4029,Cast Iron,KILMORE A,-6.231079,53.399953
WMS0495,Class A,ROYAL EXCHANGE A,-6.268261,53.34402
WMS1177,Class A,SAINT KEVIN'S,-6.257467,53.336136
WMS0224,Class A,NORTH CITY,-6.260315,53.350471
WMS2485,Class B,RAHENY-St. ASSAM,-6.161734,53.380244
WMS1791,Bigbelly Bin,CLONTARF EAST A,-6.177265,53.380217
WMS3850,Class B,CHAPELIZOD,-6.347195,53.342477
WMS3688,Class B,BALLYGALL B,-6.290784,53.387064
WMS0535,Class A,KIMMAGE C,-6.291006,53.319842
WMS2754,Class B,CABRA EAST B,-6.283939,53.361122
WMS0469,Class A,ROYAL EXCHANGE A,-6.266764,53.343907
WMS0179,Class A,NORTH CITY,-6.258153,53.348702
WMS2302,Class B,KILMORE A,-6.229609,53.395136
WMS4562,Cast Iron,CARNA,-6.360575,53.342718
WMS4606,Cast Iron,RATHMINES EAST A,-6.256419,53.330066
WMS1414,Class A,CLONTARF EAST D,-6.213912,53.360575
WMS1753,Class A,MANSION HOUSE B,-6.259339,53.343012
WMS3061,Class B,PEMBROKE WEST B,-6.235102,53.33231
WMS3719,Class B,CABRA EAST C,-6.289342,53.361266
WMS4233,Cast Iron,MOUNTJOY B,-6.25019,53.356931
WMS0124,Class A,MOUNTJOY A,-6.251685,53.351911
WMS3039,Class B,PEMBROKE EAST A,-6.22266,53.338557
WMS2672,Class B,CLONTARF EAST D,-6.214474,53.361148
